name,category_list,funding_total_usd,status,country_code,state_code,city,funding_rounds,Investors,Number_of_Investors,Acquirer,Acquirer_Category,Acquirer_Country,Acquirer_State,Acquirer_City,Acquired_Price,Acquired Currency,county,founded_at,Coordinates,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Source3,Software,4000000,operating,USA,NY,New York,1,645 Ventures:4000000|Contour Venture Partners:4000000|Correlation Ventures:4000000|Crosslink Capital:4000000|Spark Investment Fund.:4000000|Western Technology Investment:4000000,6,-,-,-,-,-,0,-,New York,2014,37.515274:-122.213672,1,US,1567267785,47,40.73,-73.99,80.01,7.31
USEREADY,Software,4000000,operating,USA,NY,New York,1,Private Equity Info:4000000|Sterling National Bank:4000000,2,-,-,-,-,-,0,-,New York,2011,41.837551:-87.681844,1,US,1567267785,47,40.73,-73.99,80.01,7.31
Orb Networks,Software,4000000,closed,USA,CA,Oakland,1,Morgenthaler Ventures:4000000,1,-,-,-,-,-,0,-,Alameda,2004,37.56482:-122.250782,20,US,1567267570,77,37.8,-122.27,69.01,3.36
Oris4,Software,4000000,operating,USA,CA,Palo Alto,4,GrowthWorks Atlantic Venture Fund:3000000|Innovacorp:3000000|NSBI Venture Capital:1000000,3,-,-,-,-,-,0,-,Santa Clara,2010,40.350461:-74.659371,20,US,1567267506,77,37.44,-122.16,71.01,3.36
Restlet,Software,4000000,operating,USA,CA,Palo Alto,2,CapDecisif Management:2000000|Siparex:2000000,2,-,-,-,-,-,0,-,Santa Clara,2008,42.375967:-71.118275,20,US,1567267506,77,37.44,-122.16,71.01,3.36
Skydeck,Software,4000000,operating,USA,CA,Palo Alto,2,Saban Ventures:3000000,1,-,-,-,-,-,0,-,Santa Clara,2012,37.727239:-123.032229,20,US,1567267506,77,37.44,-122.16,71.01,3.36
Datashield,Software,4000000,operating,USA,UT,Park City,1,Huntington Capital:4000000,1,-,-,-,-,-,0,-,Summit,2009,42.33196:-71.020173,1,US,1567267796,44,40.65,-111.5,81,6.93
CorasWorks,Software,4000000,operating,USA,VA,Reston,1,Edison Partners:4000000,1,-,-,-,-,-,0,-,Fairfax,2003,40.664274:-73.9385,40,US,1567267812,45,38.96,-77.36,86,8.05
Proxio,Software,4000000,operating,USA,CA,San Bruno,1,Women's Venture Capital Fund:4000000,1,-,-,-,-,-,0,-,San Mateo,2008,37.296867:-121.819306,20,US,1567267568,77,37.63,-122.41,68,3.36
CyberFlow Analytics,Software,4000000,operating,USA,CA,San Diego,2,Various Angel Investors:2000000|Plug & Play Ventures:2000000|Siemens Venture Capital:2000000|Toshiba America Electronic Components:4000000.0,4,-,-,-,-,-,0,-,San Diego,2013,35.921251:-86.852281,90,US,1567267821,78,32.72,-117.16,73.99,3.36
3Jam,Software,4000000,operating,USA,CA,San Francisco,1,New Enterprise Associates:4000000|Norwest Venture Partners - NVP:4000000,2,-,-,-,-,-,0,-,San Francisco,2005,47.620499:-122.350876,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Logikcull,Software,4000000,operating,USA,CA,San Francisco,1,Storm Ventures:4000000|Anshu Sharma:4000000|Nick Mehta:4000000,3,-,-,-,-,-,0,-,San Francisco,2004,33.678399:-117.771254,20,US,1567267822,77,37.78,-122.42,69.01,3.36
LoungeBuddy,Software,4000000,operating,USA,CA,San Francisco,3,Airbnb:3000000|Concur:3000000|FF Angel LLC:3000000|Founders Fund:3000000|Maiden Lane Ventures:3000000|Plug & Play Ventures:3000000|Rick Marini:1000000|Robert Cohen:3000000|Stephen Mendel:3000000|Tyler Willis:3000000,10,-,-,-,-,-,0,-,San Francisco,2013,40.664274:-73.9385,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Marketcetera,Software,4000000,operating,USA,CA,San Francisco,1,Shasta Ventures:4000000|Jack R. Selby:4000000,2,-,-,-,-,-,0,-,San Francisco,2006,42.388921:-71.242268,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Mykonos Software,Software,4000000,acquired,USA,CA,San Francisco,1,Scott Banister:4000000|Tom Golisano:4000000,2,Juniper Networks,Communications Hardware|Security|Technology,USA,CA,Sunnyvale,80000000,USD,San Francisco,2009,30.307182:-97.755996,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Rentlytics,Software,4000000,operating,USA,CA,San Francisco,2,Rincon Venture Partners:4000000|Trinity Ventures:4000000|Auren Hoffman:4000000|Mark Moran:4000000|Sean Conway:4000000|Tom Byrne:4000000|Tom Peterson:4000000,7,-,-,-,-,-,0,-,San Francisco,2013,34.028678:-84.618878,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Seal Software,Software,4000000,operating,USA,CA,San Francisco,1,Toba Capital:4000000,1,-,-,-,-,-,0,-,San Francisco,2010,37.727239:-123.032229,20,US,1567267822,77,37.78,-122.42,69.01,3.36
1World Online,Software,4000000,operating,USA,CA,San Jose,3,AltaIR Capital:2500000|Altair Capital:2500000|DEFTA Partners:2500000|GVA LaunchGurus Fund 1 L.P.:2500000|NEST:2500000|Alex Fedosseev:1000000,6,-,-,-,-,-,0,-,Santa Clara,2011,37.296867:-121.819306,1,US,1567267822,83,27.58,-98.31,87.8,4.7
Athena Design Systems,Software,4000000,closed,USA,CA,Santa Clara,1,Asset Management Ventures (AMV):4000000|Draper Fisher Jurvetson (DFJ):4000000|Draper Richards:4000000|NTT Finance:4000000|PhillipCapital:4000000|Woodside Fund:4000000,6,-,-,-,-,-,0,-,Santa Clara,2003,37.399364:-122.079517,20,US,1567267529,82,37.35,-121.96,72,4.7
Perspica Networks,Software,4000000,operating,USA,CA,Santa Clara,1,March Capital Partners:4000000,1,-,-,-,-,-,0,-,Santa Clara,2014,38.904149:-77.017094,20,US,1567267529,82,37.35,-121.96,72,4.7
Docstoc,Software,4000000,closed,USA,CA,Santa Monica,2,Crosscut Ventures:750000|Rustic Canyon Partners:3250000|Brett Brewer:750000|Matt Coffin:750000|Robin Richards:750000|Scott Walchek:750000,6,-,-,-,-,-,0,-,Los Angeles,2007,40.664274:-73.9385,1,US,1567267826,69,34.02,-118.49,78.01,3.58
Pledgeling,Software,4000000,operating,USA,CA,Santa Monica,1,Double M Partners:4000000|Aber Whitcomb:4000000|Rohan Oza:4000000,3,-,-,-,-,-,0,-,Los Angeles,2014,47.620499:-122.350876,1,US,1567267826,69,34.02,-118.49,78.01,3.58
Bluenog,Software,4000000,operating,USA,NJ,Somerset,1,NewSpring Ventures:4000000,1,-,-,-,-,-,0,-,Somerset,2006,37.296867:-121.819306,1,US,1567267832,72,40.01,-79.08,75.99,2.3
Nutonian,Software,4000000,operating,USA,MA,Somerville,1,Atlas Venture:4000000,1,-,-,-,-,-,0,-,Middlesex,2011,34.00582:-118.396781,1,US,1567267833,54,35.24,-89.35,86,5.06
Punchh,Software,4000000,operating,USA,CA,Sunnyvale,2,Cervin Ventures:4000000|Garnett Ventures:4000000|Green Span Ventures:4000000|Sandhill Group:4000000|VKRM Ventures:4000000,5,-,-,-,-,-,0,-,Santa Clara,2010,37.515274:-122.213672,1,US,1567267839,82,37.37,-122.04,72,2.44
Skyway Software,Software,4000000,closed,USA,FL,Tampa,1,Armada Investment Group:4000000|Guide Capital:4000000|Imlay Investments:4000000,3,-,-,-,-,-,0,-,Hillsborough,2001,37.399364:-122.079517,20,US,1567267666,62,27.95,-82.46,91,9.17
Fanzter,Software,4000000,closed,USA,CT,Unionville,2,Curious Office Partners:2000000|Second Avenue Partners:4000000.0|Steamboat Ventures:4000000.0|Kelly Smith:2000000|Rich Barton:2000000,5,-,-,-,-,-,0,-,Hartford,2007,38.178077:-85.666708,1,US,1567267848,45,43.65,-83.47,70,5.82
Pantero,Software,4000000,operating,USA,MA,Waltham,1,Gotham Ventures:4000000|Draper Fisher Jurvetson (DFJ):4000000|Partech Ventures:4000000,3,-,-,-,-,-,0,-,Middlesex,2003,37.479736:-122.148097,40,US,1567267852,44,42.38,-71.24,78.01,9.17
Prevalent Networks,Software,4000000,operating,USA,NJ,Warren,1,Fulcrum Equity Partners:4000000,1,-,-,-,-,-,0,-,Somerset,2004,37.399364:-122.079517,1,US,1567267852,49,42.48,-83.03,71.01,10.29
Blue Tiger Labs,Software,4000000,operating,USA,DC,Washington,2,Eniac Ventures:4000000|Dave Baggett:4000000|Haroon Mokhtarzada:4000000,3,-,-,-,-,-,0,-,District Of Columbia,2011,41.449529:-81.93016,1,US,1567267639,45,38.9,-77.04,84.99,6.93
Celcuity,Technology,4000000,operating,USA,MN,Hamel,1,Brightstone Venture Capital:4000000,1,-,-,-,-,-,0,-,Hennepin,2012,38.899158:-77.260463,75,US,1567267741,73,38.89,-89.85,75,8.05
SmartZyme,Technology,4000000,closed,USA,MN,Minneapolis,1,OrbiMed:4000000,1,-,-,-,-,-,0,-,Hennepin,2013,42.33196:-71.020173,90,US,1567267508,63,44.98,-93.27,66.99,11.41
INI Power Systems,Technology,4000000,operating,USA,NC,Morrisville,1,MHI Energy Partners:4000000,1,-,-,-,-,-,0,-,Wake,2001,40.298709:-111.69919,1,US,1567267780,61,35.82,-78.83,89.01,2.48
IsoPlexis,Technology,4000000,operating,USA,CT,New Haven,4,Connecticut Innovations:1650000.0|Spring Mountain Capital:1250000|YEI Innovation Fund:100000,3,-,-,-,-,-,0,-,New Haven,2012,32.794176:-96.765503,1,US,1567267700,38,41.31,-72.93,78.8,10.29
iCardiac Technologies,Technology,4000000,operating,USA,NY,Rochester,3,Advantage Capital Partners:4000000|Stonehenge Capital:4000000,2,-,-,-,-,-,0,-,Monroe,2006,32.8153:-117.134993,75,US,1567267670,48,44.02,-92.46,69.01,9.17
GreenRay Solar,Technology,4000000,operating,USA,MA,Westford,2,21Ventures:4000000.0|Quercus Trust:2000000,2,-,-,-,-,-,0,-,Middlesex,2006,30.307182:-97.755996,40,US,1567267582,44,42.58,-71.44,77,9.17
NextGreatPlace,Travel,4000000,closed,USA,CO,Denver,2,Trinity Ventures:4000000.0,1,-,-,-,-,-,0,-,Jefferson,2010,30.307182:-97.755996,1,US,1567267622,64,39.74,-104.98,77,3.2
Lenda,Finance,3996000,operating,USA,CA,San Francisco,6,500 Startups:2238000.0|Cherry Ventures:1540000|China Growth Capital:1540000|Lakestar:2000000|Marc Bell Ventures:1540000|Monthly Ventures:376000.0|RUBICON:2000000|Rubicon Venture Capital:1540000|SK Ventures:1540000|Startup Monthly:138000|Structure Capital:1540000|Winklevoss Capital:1540000|ZenStone Venture Capital:1540000|Chris Piro:80000|Cyan Banister:1540000|Dheeraj Sanka:376000.0|Dirk Herzbach:376000.0|Jared Kopf:1540000|Jason van den Brand:80000|Naval Ravikant:1540000|Nima Ghamsari:138000|Rahul 'RJ' Jain:376000.0|Rob Ingenthron:138000|Rosco Hill:376000.0|Sam Melamed:1540000|Scott Banister:1540000|Tom Fallows:1540000,27,-,-,-,-,-,0,-,San Francisco,2012,39.106506:-77.555574,20,US,1567267822,77,37.78,-122.42,69.01,3.36
StepOne,Services,3990853,operating,USA,TX,Austin,1,LiveOak Venture Partners:3990853|Silverton Partners:3990853,2,-,-,-,-,-,0,-,Travis,2011,37.56482:-122.250782,75,US,1567267502,62,30.27,-97.74,89.01,5.82
GrayBug,Technology,3990000,operating,USA,MD,Baltimore,3,Hatteras Venture Partners:1740000|Maryland Venture Fund:3240000.0,2,-,-,-,-,-,0,-,Baltimore City,2011,40.009376:-75.133346,1,US,1567267458,45,39.29,-76.61,84.99,6.93
Vivaldi Biosciences,Technology,3974546,operating,USA,NY,New York,2,Bay City Capital:2000000,1,-,-,-,-,-,0,-,New York,2006,29.780472:-95.386342,1,US,1567267785,47,40.73,-73.99,80.01,7.31
Paper Battery Company,Manufacturing,3972414,operating,USA,NY,Troy,2,Caerus Ventures:3972414.0,1,-,-,-,-,-,0,-,Rensselaer,2008,42.375967:-71.118275,1,US,1567267661,43,42.73,-73.69,73.99,16.11
QuickGifts,Finance,3970817,operating,USA,TX,Austin,4,Thinktiv:1000000,1,-,-,-,-,-,0,-,Travis,2002,41.381327:-72.856347,75,US,1567267502,62,30.27,-97.74,89.01,5.82
ChoreMonster,Software,3960035,operating,USA,OH,Cincinnati,6,CincyTech:1130000.0|Detroit Venture Partners:1500000|Disney Accelerator:120000|The Brandery:2655000.0|Vine St. Ventures:775000,5,-,-,-,-,-,0,-,Hamilton,2011,39.761849:-104.880625,90,US,1567267621,64,39.1,-84.51,77,10.29
Smart Skin Technologies,Software,3959672,operating,USA,NJ,New Brunswick,2,Build Ventures:3900000|GrowthWorks Atlantic Venture Fund:3900000|New Brunswick Innovation Foundation:3900000|Rho Canada Ventures:3900000,4,-,-,-,-,-,0,-,Middlesex,2009,34.019394:-118.410825,75,US,1567267740,44,40.49,-74.45,81,5.82
Dering Hall,Software,3919981,operating,USA,NY,New York,2,Hearst Magazines UK:2519981|Hearst Corporation:1400000|Lerer Hippeau Ventures:3919981.0|SoftBank Capital:3919981.0,4,-,-,-,-,-,0,-,New York,2011,40.664274:-73.9385,1,US,1567267785,47,40.73,-73.99,80.01,7.31
Frontback,Software,3910000,closed,USA,CA,San Francisco,2,Betaworks:910000|Fuel Capital:3000000|Hudson River Angels:910000|Index Ventures:3910000.0|Lerer Hippeau Ventures:3910000.0|Seedcamp:910000|Susa Ventures:3000000|SV Angel:3910000.0|Alexis Ohanian:3000000|Charlie Cheever:3000000|Garry Tan:3000000|Harjeet Taggar:3000000|Jared Hecht:910000|Michael Arrington:3000000|Michael Birch:3000000|Steve Martocci:910000|Taavet Hinrikus:910000,17,-,-,-,-,-,0,-,San Francisco,2011,38.907263:-94.62524,20,US,1567267822,77,37.78,-122.42,69.01,3.36
AquaMost,Technology,3907466,operating,USA,WI,Madison,4,Golden Angels Investors:3907466.0,1,-,-,-,-,-,0,-,Dane,2006,38.970411:-77.387108,1,US,1567267733,52,43.07,-89.38,70,12.75
HealthQx,Software,3907000,operating,USA,PA,King Of Prussia,2,Ben Franklin Technology Partners of Southeastern Pennsylvania:250000,1,-,-,-,-,-,0,-,Montgomery,2012,37.727239:-123.032229,1,US,1567267756,47,40.09,-75.4,82.4,9.17
JourneyPure,Technology,3906450,operating,USA,TN,Brentwood,4,Clayton Associates:1431000|Rolling Hills Ventures:1431000,2,-,-,-,-,-,0,-,Williamson,2014,40.664274:-73.9385,1,US,1567267688,61,36.03,-86.78,87.01,2.42
"Game Trading technologies, Inc.",Entertainment,3900000,closed,USA,MD,Hunt Valley,1,Vision Capital:3900000,1,-,-,-,-,-,0,-,Baltimore,2003,39.761849:-104.880625,1,US,1567267749,57,39.49,-76.66,84,5.82
Pinrose,Manufacturing,3900000,operating,USA,CA,San Francisco,3,Grace Beauty:2100000|Grace Beauty Capital:1800000|Harrison Metal:3900000.0|ZIG Capital:1800000|Andy Rachleff:1800000|Howard Morgan:1800000|Mark Leslie:1800000,7,-,-,-,-,-,0,-,San Francisco,2013,37.399782:-122.142776,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Talk Local,Marketing,3900000,operating,USA,MD,College Park,3,Crystal Tech Fund:2600000|Dingman Center Angels:1300000|Fortify Ventures:3900000.0|Launch Angels:2600000|Privateer Capital:2600000|Stardust Venture Partners:1300000,6,-,-,-,-,-,0,-,Prince Georges,2008,38.853183:-77.299025,1,US,1567267704,45,38.98,-76.94,86,6.93
Organizer,Marketing,3900000,operating,USA,CA,San Francisco,1,Founders Fund:3900000|Chris Kelly:3900000|Dave Morin:3900000|David Kittay:3900000|Dustin Moskovitz:3900000|Erik Moore:3900000|Nate Bosshard:3900000,7,-,-,-,-,-,0,-,San Francisco,2010,36.227712:-115.264045,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Grokr,Mobile,3900000,operating,USA,CA,Sunnyvale,2,Lerer Hippeau Ventures:2400000|New Enterprise Associates:2400000|Triple Point:2400000|U.S. Venture Partners (USVP):2400000,4,-,-,-,-,-,0,-,Santa Clara,2011,43.087806:-89.430121,1,US,1567267839,82,37.37,-122.04,72,2.44
Britely,Software,3900000,operating,USA,CA,Palo Alto,3,Bessemer Venture Partners:900000|SoftTech VC:500000|Gil Penchina:500000|Reid Hoffman:500000|Scott Kurnit:500000,5,-,-,-,-,-,0,-,Santa Clara,2007,37.769857:-122.22564,20,US,1567267506,77,37.44,-122.16,71.01,3.36
Buffer,Software,3900000,operating,USA,CA,San Francisco,3,Marc Bell Ventures:3500000|Stage One Capital:3500000|Adii Pienaar:400000|Alberto Benbunan:400000|Andy McLoughlin:400000|Dharmesh Shah:400000|Eric Kim:400000|Gady Nemirovsky:400000|Gokul Rajaram:400000|Gordon Paddison:400000|Graham Jenkin:400000|Guy Kawasaki:400000|Harvey Brofman:400000|Hiten Shah:400000|Jay Baer:400000|Jay Gould:400000|Jim LeTourneau:400000|Keval Desai:400000|Maneesh Arora:400000|Peter Bordes:400000|Robert Fanini:400000|Shan Mehta:400000|Thomas Korte:400000,23,-,-,-,-,-,0,-,San Francisco,2010,40.439753:-79.976592,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Indow Windows,Technology,3900000,operating,USA,OR,Portland,4,Alliance of Angels:3900000.0|Element 8:2600000|Ironstone Group Inc.:2600000|Keiretsu Forum:2600000|Patient Capital Collaborative:2600000|Portland Seed Fund:1300000|Puget Sound Venture Club:2600000|Vision Ridge Partners:3900000.0,8,-,-,-,-,-,0,-,Clackamas,2010,37.727239:-123.032229,75,US,1567267534,55,27.88,-97.32,91.4,8.05
BioSurplus,Technology,3900000,operating,USA,CA,San Diego,2,KI Investment Holdings:3900000.0|SJF Ventures:2400000,2,-,-,-,-,-,0,-,San Diego,2002,35.980964:-78.905647,90,US,1567267821,78,32.72,-117.16,73.99,3.36
JamHub,Entertainment,3894581,operating,USA,MA,Whitinsville,5,Angel Investor Forum:1100000|Boynton Angels:1100000|Central Texas Angel Network:1100000|LaunchPad Venture Group:1100000|Maine Angels:1100000|Northeast Angels:1100000,6,-,-,-,-,-,0,-,Worcester,2008,30.307182:-97.755996,1,US,1567267861,36,42.11,-71.67,78.8,9.17
SlamData,Software,3883838,operating,USA,CO,Boulder,2,Access Venture Partners:3633838|Flywheel Ventures:3633838|LaunchCapital:3633838|PV Ventures:3633838|Service Provider Capital:3633838|Seven Peaks Ventures:3633838|True Ventures:3633838,7,-,-,-,-,-,0,-,Boulder,2014,32.8153:-117.134993,1,US,1567267435,64,40.02,-105.27,75,4.72
Postcard on the Run,Software,3882595,closed,USA,CA,Los Angeles,3,Crosscut Ventures:2050000.0|Crosslink Capital:3132595.0|Double M Partners:3132595.0|Miramar Venture Partners:3132595.0|Newport Coast Investments:3132595.0|Wavemaker Partners:3132595.0|Selena Gomez:1300000,7,-,-,-,-,-,0,-,Los Angeles,2011,40.664274:-73.9385,1,US,1567267506,69,34.05,-118.24,77,3.58
Dashwire,Mobile,3859459,acquired,USA,WA,Seattle,2,Alliance of Angels:3859459.0|Best Buy Capital:1000000|Trilogy Equity Partners:1000000,3,HTC Corp,Hardware + Software|Mobile,TWN,4,Taoyüan,18500000,USD,King,2006,37.727239:-123.032229,1,US,1567267556,77,47.6,-122.33,66.99,5.82
Shaser,Technology,3855613,operating,USA,MA,Woburn,2,Stata Venture Partners:2999999,1,-,-,-,-,-,0,-,Middlesex,2004,42.33196:-71.020173,40,US,1567267865,44,42.48,-71.15,78.01,9.17
Red Karaoke,Software,3854828,operating,USA,CA,San Francisco,2,Clave Mayor:3120000|Ricari:734828,2,-,-,-,-,-,0,-,San Francisco,2007,35.00871:-80.936438,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Pinnatta,Entertainment,3850000,operating,USA,CA,Sunnyvale,6,Cherubic Ventures:800000.0|Green Venture Capital:1200000|i-Free:450000|Odyssey Venture Partners:2700000.0|PJ Tech Catalyst:2700000.0|Andrew Wright:2000000.0|Stamos Venios:550000.0|Tasso Argyros:900000.0,8,-,-,-,-,-,0,-,Santa Clara,2011,40.664274:-73.9385,1,US,1567267839,82,37.37,-122.04,72,2.44
MakeTime,Finance,3850000,operating,USA,KY,Lexington,2,Almaz Capital:2650000|Kentucky Science & Technology Corporation:2650000,2,-,-,-,-,-,0,-,Fayette,2014,40.664274:-73.9385,1,US,1567267518,69,38.05,-84.5,84.99,7.72
Micro Interventional Devices,Health,3850000,operating,USA,PA,Newtown,3,Battelle Ventures:3500000|Ben Franklin Technology Partners of Northeast Pennsylvania:100000|Life Sciences Greenhouse of Pennsylvania:250000|Originate Ventures:3500000,4,-,-,-,-,-,0,-,Bucks,2010,34.00582:-118.396781,1,US,1567267787,44,40.23,-74.94,82,9.17
INTURN,Manufacturing,3850000,operating,USA,NY,New York,2,Align Ventures:3600000|Beanstalk Ventures:3850000.0|Forerunner Ventures:3600000|Lerer Hippeau Ventures:3600000|Novel TMT Ventures:3600000|T5 Capital:3600000|Bobby Lent:3600000,7,-,-,-,-,-,0,-,New York,2013,40.009376:-75.133346,1,US,1567267785,47,40.73,-73.99,80.01,7.31
Luxul Technology,Software,3850000,operating,USA,CA,Santa Clara,2,Translink Capital:3850000,1,-,-,-,-,-,0,-,Santa Clara,2010,30.307182:-97.755996,20,US,1567267529,82,37.35,-121.96,72,4.7
Revegy,Software,3840934,operating,USA,GA,Atlanta,2,Runa Capital:3000000,1,-,-,-,-,-,0,-,Fulton,2005,42.275641:-83.731333,1,US,1567267668,51,33.75,-84.39,86,3.36
Democracy.com,Marketing,3840000,operating,USA,NY,Brooklyn,3,Fort Point Angels:2140000|Anonymous Anonymous:2140000|Anonymous Investor 2:1500000|Anonymous Investors 3:1500000|Oleg Uritsky:2140000,5,-,-,-,-,-,0,-,Kings,2012,37.495519:-122.26681,75,US,1567267517,60,41.44,-81.74,72,10.29
Stackla,Marketing,3839780,operating,USA,CA,San Francisco,2,APGM:1763067|Bailador:2076713|Rampersand:3839780.0|Tony Faure:2076713,4,-,-,-,-,-,0,-,San Francisco,2012,40.664274:-73.9385,20,US,1567267822,77,37.78,-122.42,69.01,3.36
opvizor,Software,3839577,operating,USA,TX,Houston,2,Texas Atlantic Capital:1250000|Gamma Capital Partners:1250000|GCP Capital Partners:2589577|Wellington Partners:1250000,4,-,-,-,-,-,0,-,Harris,2012,37.628139:-122.106341,20,US,1567267722,62,29.76,-95.37,90,3.69
Variable,Software,3833534,operating,USA,TN,Chattanooga,5,Atlanta Technology Angels:1250000|Blank Slate Ventures:550000.0|Chattanooga Renaissance Fund:1600000.0|Pangea's Edge Holdings:1250000,4,-,-,-,-,-,0,-,Hamilton,2009,40.664274:-73.9385,1,US,1567267470,61,35.05,-85.31,86,3.36
Inovus Solar,Technology,3831975,operating,USA,ID,Boise,3,Alliance of Angels:2150001|Point B Capital:2150001|RAIN Source Capital:860000,3,-,-,-,-,-,0,-,Ada,2007,34.434875:-119.857741,1,US,1567267612,53,43.62,-116.2,78.01,6.93
Speakr,Marketing,3830000,operating,USA,CA,Los Angeles,2,Allegro Venture Partners:2900000|Scout Ventures:930000|Toba Capital:2900000|Bradley C. Harrison:930000|Brett Hurt:2900000|Aber Whitcomb:2900000|Philipp Stauffer:2900000,7,-,-,-,-,-,0,-,Los Angeles,2010,33.804843:-117.824876,1,US,1567267506,69,34.05,-118.24,77,3.58
ZipZap,Finance,3800000,operating,USA,CA,San Francisco,3,500 Startups:1100000|AngelList:2200000.0|Blumberg Capital:1100000|Blockchain Capital:2200000.0|Maiden Lane Ventures:2200000.0|Alan Safahi:1100000|Ben Davenport:1100000|Ben Narasin:1100000|Brock Pierce:1100000|David Blumberg:1100000|Eric Kagan:1100000|Scott Banister:2200000.0,12,-,-,-,-,-,0,-,San Francisco,2010,-1,20,US,1567267822,77,37.78,-122.42,69.01,3.36
AgLocal,Food,3800000,operating,USA,KS,Mission,3,Andreessen Horowitz:2300000.0|Chicago Ventures:2800000.0|Corazon Capital:1300000|Dundee Venture Capital:1000000|NewMe Accelerator:1500000|OPENAIR Equity Partners:2300000.0|SeventySix Capital:1000000|Andy O'Hara:2300000.0|Bob Trahan:1300000|Dan Carroll:2300000.0|John Fohr:2300000.0|Matt Watson:2300000.0|Thad Langford:2300000.0,13,-,-,-,-,-,0,-,Johnson,2011,42.375967:-71.118275,40,US,1567267776,59,26.22,-98.33,90,6.93
Coveroo,Hardware,3800000,operating,USA,CA,San Francisco,2,"Consor Capital:3800000.0|Rembrandt Venture Partners:3800000.0|Ben T. Smith, IV:1500000|Gil Penchina:1500000|Karl Jacob:3800000.0",5,-,-,-,-,-,0,-,San Francisco,2008,37.727239:-123.032229,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Dennoo,Marketing,3800000,operating,USA,CA,Palo Alto,3,Archetype:2000000|Cyber Communications:2000000|CyberAgent Ventures:2000000|Nissay Capital:3100000.0|Daisuke Nagata:2000000|Kevin Yoshinaga:700000|Masataka Matsumoto:2000000|Tak Miyata:2000000,8,-,-,-,-,-,0,-,Santa Clara,2011,-1,20,US,1567267506,77,37.44,-122.16,71.01,3.36
BlueLine Grid,Mobile,3800000,operating,USA,NY,New York,1,In-Q-Tel:3800000,1,-,-,-,-,-,0,-,New York,2013,25.775163:-80.208615,1,US,1567267785,47,40.73,-73.99,80.01,7.31
